tesla_date,replies_count,positive,negative,article_positive,article_negative,DJ_Price,class
2013-01-05,"","","","","",0.0,5
2013-01-06,"","","","","",0.0,5
2010-09-21,"","","","","",0.014418273069780056,5
2014-04-28,"","","","","",-0.003303561358439011,2
2017-01-12,468,761,474,"","",0.0,2
2017-04-07,750,361,197,1,0,0.0,1
2017-04-08,"","","","","",0.0,1
2017-04-09,"","","","","",0.0,1
2016-07-13,233,231,196,1,0,0.006188688464635982,5
2012-07-23,20,27,19,"","",-0.01709226620018676,5
2012-07-23,20,16,9,"","",-0.01709226620018676,5
2014-10-07,"","","","","",-0.017104256671091823,3
2014-02-26,"","","","","",0.0,5
2013-12-19,79,58,36,"","",0.01905384851203203,5
2013-12-19,26,18,17,"","",0.01905384851203203,5
2011-05-17,"","","","","",-0.0091458166693081,5
2012-02-24,"","","","","",0.003545631387492197,5
2012-02-25,2,1,3,"","",0.0,5
2012-02-25,35,19,24,"","",0.0,5
2012-02-25,5,6,4,"","",0.0,5
2012-02-26,"","","","","",0.0,5
2012-09-17,92,75,85,"","",0.0,5
2010-11-04,"","","","","",0.022348023720988427,1
2016-10-11,"","","",0,1,-0.008438959199305193,4
2012-06-14,11,16,5,"","",0.006806277880750915,4
2012-06-14,11,16,4,"","",0.006806277880750915,4
2012-03-05,"","","","","",-0.0013820795938216204,5
2019-06-12,1351,1443,955,"","",-0.006713361565723414,5
2019-06-12,751,1391,948,"","",-0.006713361565723414,5
2019-06-12,273,206,178,"","",-0.006713361565723414,5
2017-12-28,"","","","","",0.0028663791165902683,4
2014-01-16,"","","","","",0.0023799865757189614,2
2010-10-20,"","","","","",-0.0028394093074835956,2
2018-06-15,5495,11164,6650,"","",-0.00650058184673754,2
2018-06-15,1191,1033,658,"","",-0.00650058184673754,2
2018-06-15,1371,1075,775,"","",-0.00650058184673754,2
2018-06-16,1880,1689,1067,"","",-0.005145587521256235,2
2018-06-16,1417,1192,871,"","",-0.005145587521256235,2
2018-06-16,1112,6865,4028,"","",-0.005145587521256235,2
2018-06-16,732,564,425,"","",-0.005145587521256235,2
2018-06-16,2967,3828,2207,"","",-0.005145587521256235,2
2018-06-17,432,777,446,"","",-0.005145587521256235,2
2018-06-17,1676,1067,723,"","",-0.005145587521256235,2
2018-06-17,624,447,294,"","",-0.005145587521256235,2
2018-06-17,895,717,402,"","",-0.005145587521256235,2
2013-06-26,"","","","","",0.016390885677000762,1
2014-07-28,"","","","","",-0.005674062838490588,3
2019-09-03,1407,1883,1273,"","","",5
2016-01-12,120,96,87,0,1,0.009628555220039688,6
2016-01-12,195,187,125,0,1,0.009628555220039688,6
2019-12-12,1281,1056,663,"","",0.009500028139769218,3
2019-12-12,10535,16467,9921,"","",0.009500028139769218,3
2019-12-12,1798,2337,1270,"","",0.009500028139769218,3
2019-12-12,2058,3508,2022,"","",0.009500028139769218,3
2013-12-26,"","","","","","",5
2015-03-06,"","","","","",-0.01326863101232482,5
2015-03-07,129,142,96,"","",-0.007719571904075273,5
2015-03-08,90,199,106,"","",-0.007719571904075273,5
2016-11-17,443,872,656,2,0,0.0,3
2017-07-31,432,431,312,"","",0.004755448241426312,5
2010-10-26,"","","","","",0.003238864052968431,3
2016-09-29,"","","",0,1,-0.0053053899922614785,4
2013-10-07,"","","","","",-0.0038973458815340233,5
2019-05-09,2506,3854,2120,"","",-0.004065340673740972,5
2015-06-15,79,77,52,1,0,-0.013565228502942006,2
2015-06-15,40,24,32,1,0,-0.013565228502942006,2
2018-05-03,393,406,270,"","",-0.006950080268361443,1
2020-01-08,1567,1410,1000,"","",0.003698086237303301,2
2017-06-14,"","","","","",0.00553847720084822,5
